Tempo,X,Y,Z,EMG1,EMG2,Modulo da derivada X,Modulo da derivada Y,Modulo da derivada Z,Modulo da derivada EMG1,Modulo da derivada EMG2
0,30061,31052,43882,6854,8509,0,0,0,0,0
60,30205,31218,43793,3854,8300,108,124,66,2250,156
129,30338,31277,43732,2080,3417,86,38,39,1156,3184
194,30343,31306,43706,1039,187,3,20,18,720,2236
262,30190,31372,43794,393,48,101,43,58,427,91
329,30181,31349,43744,537,82,6,15,33,96,22
393,30270,31291,43766,567,226,62,40,15,21,101
458,30074,31364,43727,1309,218,135,50,27,513,5
523,30131,31413,43766,179,158,39,33,27,782,41
590,30292,31388,43733,1611,0,108,16,22,961,106
656,30260,31369,43684,58,790,21,12,33,1058,538
720,30244,31345,43662,783,874,11,16,15,509,59
788,30261,31261,43701,273,12,11,55,25,337,570
854,30288,31105,43788,186,0,18,106,59,59,8
923,30166,31074,43835,197,0,79,20,30,7,0
989,30221,31204,43777,90,26,37,88,39,72,17
1055,30211,31362,43755,0,152,6,107,15,61,85
1122,30179,31354,43764,0,2203,21,5,6,0,1377
1192,30244,31305,43740,0,6249,41,31,15,0,2601
1259,30266,31360,43761,1,3787,14,36,14,0,1653
1325,30191,31332,43763,0,661,51,19,1,0,2131
1389,30110,31255,43822,1763,3251,56,54,41,1239,1821
1454,30093,31097,43887,1300,9007,11,109,45,320,3984
1520,30234,31197,43794,871,8694,96,68,63,292,213
1588,30202,31164,43810,1761,6940,21,21,10,588,1160
1651,30169,31184,43833,877,2970,23,14,16,631,2835
1714,30176,31169,43835,1798,3166,5,10,1,657,140
1781,30196,31164,43750,3609,5536,13,3,57,1216,1591
1846,30226,31268,43741,1357,5279,20,72,6,1559,177
1910,30245,31289,43785,2410,4061,13,14,30,740,856
1973,30109,31186,43861,3036,364,97,73,54,447,2640
2040,30141,31227,43837,3505,27,21,27,16,315,226
2105,30058,31249,43862,2953,144,57,15,17,382,81
2168,30144,31140,43813,0,4163,61,77,35,2109,2870
2232,30127,31029,43923,0,9591,11,78,77,0,3816
2299,30103,31117,43873,1,12706,16,59,33,0,2092
2362,30212,31107,43833,2,11010,77,7,28,0,1211
2429,30349,31099,43807,2,9744,92,5,17,0,850
2498,30165,31133,43799,979,12974,120,22,5,637,2106
2564,30052,31101,43904,11,8228,77,21,71,660,3235
2628,30223,31073,43902,1,4692,120,19,1,7,2486
2692,30114,31116,43879,0,5458,76,30,16,0,538
2757,30193,31038,43907,1,4214,54,54,19,0,861
2821,30105,31006,43936,325,2751,61,22,20,227,1028
2888,30103,31101,43903,2538,1646,1,63,22,1486,742
2954,30149,31089,43901,6131,409,31,8,1,2449,843
3020,30198,31110,43960,4781,5,33,14,40,920,275
3088,30136,31058,43944,3861,2,41,34,10,608,1
3154,30058,31037,43961,60,0,53,14,11,2591,1
3221,30182,31077,44035,446,104,83,26,49,259,69
3289,30048,31113,44009,3129,15,88,23,17,1775,58
3352,30090,31156,43993,505,372,30,30,11,1874,255
3417,30153,31127,43952,434,4110,43,20,28,49,2587
3482,30121,31181,43953,726,2537,22,37,0,202,1089
3547,30107,31202,43938,198,1139,9,14,10,365,967
3612,30115,31139,43972,2917,366,5,43,23,1882,535
3678,30109,31125,44012,8991,0,4,9,27,4141,249
3746,30080,31172,44065,13732,0,19,31,35,3137,0
3810,30037,31166,44054,9503,0,30,4,7,2973,0
3872,30244,31226,43959,6140,154,150,43,68,2440,111
3937,30128,31308,43943,7132,279,80,56,11,686,86
4000,30050,31261,43999,4796,0,55,33,40,1668,199
4064,30130,31321,43986,3419,9,56,42,9,968,6
4129,30049,31263,43990,4285,191,56,40,2,599,126
4194,30219,31128,43997,3954,0,117,93,4,229,132
4262,30073,31125,44028,4347,2096,96,1,20,260,1387
4329,30010,31036,43975,4033,2223,42,59,35,210,85
4392,30170,31309,43983,0,664,114,195,5,2880,1113
4456,30137,31253,43959,0,257,23,39,16,0,286
4521,30091,31375,44047,28,4350,31,84,60,19,2833
4585,30140,31454,44003,6,6060,34,55,30,15,1202
4647,30139,31505,44065,81,4751,0,37,45,54,950
4710,30003,31454,44062,0,3783,97,36,2,57,691
4774,30044,31335,44090,0,39,28,83,19,0,2632
4838,29990,31233,44032,491,0,37,71,40,345,27
4904,30184,31224,43922,4128,7759,132,6,75,2479,5290
4968,30130,31232,43938,2689,7857,37,5,11,1011,68
5034,30104,31352,43978,1612,6133,17,81,27,734,1175
5099,30165,31342,43936,8843,3347,42,6,29,5006,1928
5163,30296,31314,43970,10456,4907,92,19,23,1134,1096
5231,30347,31356,43886,16526,8084,33,27,55,4016,2102
5295,30128,31367,43730,15621,1937,153,7,109,636,4322
5360,30323,31391,43794,12589,1229,135,16,44,2099,490
5426,30279,31349,43825,8066,23,30,28,21,3083,822
5495,30111,31252,43883,7202,916,109,63,37,563,582
5559,30083,31094,43874,4566,469,19,111,6,1853,314
5625,30013,31111,43972,5716,26,47,11,66,784,302
5690,29970,31182,43883,1410,405,29,49,61,2981,262
5756,30097,31270,43808,1894,0,86,60,51,330,276
5822,30186,31175,43742,396,0,60,64,45,1021,0
5889,30298,31312,43672,0,6,75,92,47,265,4
5953,30400,31377,43712,0,0,71,45,28,0,4
6017,30247,31258,43763,530,0,107,83,35,372,0
6081,30228,31273,43799,2225,0,13,10,25,1191,0
6144,30184,31365,43799,3715,0,31,65,0,1064,0
6209,30193,31226,43750,5601,0,6,96,33,1305,0
6274,30184,31176,43727,7075,0,6,34,15,1020,0
6342,30282,31235,43637,1757,0,64,39,59,3519,0
6406,30316,31326,43634,4,0,23,63,2,1232,0
6468,30245,31196,43631,0,0,51,94,2,2,0
6535,30242,31169,43562,0,0,2,18,46,0,0
6600,30376,31306,43603,0,0,92,94,28,0,0
6668,30511,31365,43534,0,0,89,39,45,0,0
6733,30341,31429,43526,0,8,117,44,5,0,5
6795,30180,31514,43619,0,2409,116,61,67,0,1742
6858,30253,31535,43608,0,3874,52,15,7,0,1046
6926,30284,31349,43648,0,0,20,123,26,0,2563
6992,30292,31179,43750,0,449,5,115,69,0,306
7057,30158,31175,43820,64,0,92,2,48,44,310
7123,30130,31161,43867,528,0,19,9,32,316,0
7190,30175,31178,43848,1892,0,30,11,12,916,0
7254,30267,31289,43876,187,0,64,78,19,1198,0
7320,30126,31331,43841,0,0,96,28,23,127,0
7385,30095,31365,43862,53,0,21,23,14,36,0
7452,30264,31377,43887,0,0,113,8,16,35,0
7515,30174,31459,43787,0,25,64,58,71,0,17
7578,30165,31526,43814,0,0,6,47,19,0,17
7643,30238,31509,43887,0,0,50,11,50,0,0
7710,30095,31388,43911,0,304,96,81,16,0,204
7776,30184,31445,43972,32,786,60,38,41,21,328
7843,30242,31349,44023,146,1366,38,64,34,76,389
7906,29960,31430,44047,3165,0,201,57,17,2156,975
7968,30034,31438,43982,5289,0,53,5,47,1541,0
8034,30247,31453,43944,2149,0,145,10,25,2140,0
8097,30248,31469,43848,359,4738,0,11,68,1278,3384
8161,30223,31533,44022,4279,6953,17,45,122,2756,1557
8226,30068,31455,44050,3213,4409,107,54,19,738,1761
8289,30143,31345,44014,5536,4967,53,78,25,1659,398
8355,30154,31212,43998,1697,1612,7,90,10,2617,2287
8420,30203,30988,43954,3922,4925,33,155,30,1540,2293
8484,30204,31058,44060,4917,3843,0,49,74,699,760
8549,30013,31091,44258,3507,5457,132,22,137,976,1117
8613,29982,30951,44289,4997,2593,21,98,21,1047,2013
8678,30027,31121,44233,3741,3548,31,117,38,869,661
8745,30033,31422,44225,6139,5914,4,202,5,1610,1589
8810,30005,31432,44140,4160,1182,19,6,58,1370,3276
8875,30054,31199,44086,1204,0,33,161,37,2046,818
8938,30114,31037,43995,1189,0,42,115,65,10,0
9004,30189,30995,44127,2287,0,51,28,90,748,0
9069,30088,31004,44137,2027,0,69,6,6,180,0
9136,30033,31131,44214,46,0,36,85,51,1330,0
9198,30232,31198,44184,113,0,144,48,21,48,0
9263,30237,31500,44030,0,0,3,209,106,78,0
9327,30388,32005,44148,368,1623,106,355,82,258,1141
9389,30392,32246,44395,7972,337,2,174,179,5519,933
9456,30637,32643,44414,12130,708,164,266,12,2792,249
9521,29542,32560,44231,10880,680,758,57,126,865,19
9585,27914,32350,43022,6861,1,1144,147,850,2825,477
9647,28981,32094,42599,5606,357,774,185,307,910,258
9714,32450,33558,42311,3055,1533,2329,983,193,1713,789
9778,33344,34258,41903,2229,1224,628,492,286,580,217
9842,31310,33098,42675,0,387,1430,815,542,1567,588
9905,29359,32500,44082,0,0,1393,427,1005,0,276
9971,26965,32840,44398,0,0,1632,231,215,0,0
10033,26502,32500,44017,5173,0,336,246,276,3754,0
10098,28020,31501,43804,26549,465,1050,691,147,14798,321
10165,30903,31099,43042,24873,4446,1936,270,511,1125,2673
